0.10  0.000
0.20  0.000
0.30  0.000
0.40  0.000
0.50  2.238
0.60  2.250
0.70  2.272
0.80  2.294
0.90  2.308
1.00  2.322
1.10  2.306
1.20  2.296
1.30  2.306
1.40  2.320
1.50  2.338
1.60  2.360
1.70  2.388
1.80  2.480
1.90  2.673
2.00  2.717
2.10  2.731
2.20  2.727
2.30  2.717
2.40  2.709
2.50  2.705
2.60  2.699
2.70  2.697
2.80  2.697
2.90  2.699
3.00  2.705
3.10  2.714
3.20  2.728
3.30  2.744
3.40  2.766
3.50  2.796
3.60  2.853
3.70  2.967
3.80  3.196
3.90  3.391
4.00  3.490
4.10  3.540
4.20  3.563
4.30  3.575
4.40  3.583
4.50  3.594
4.60  3.610
4.70  3.635
4.80  3.665
4.90  3.698
5.00  3.733
5.10  3.769
5.20  0.000
5.30  0.000
5.40  0.000
5.50  0.000
5.60  0.000
5.70  0.000
5.80  0.000
5.90  0.000
6.00  0.000
