0.10  0.000
0.20  0.000
0.30  0.000
0.40  0.000
0.50  2.118
0.60  2.130
0.70  2.140
0.80  2.148
0.90  2.168
1.00  2.232
1.10  2.274
1.20  2.280
1.30  2.286
1.40  2.292
1.50  2.294
1.60  2.294
1.70  2.290
1.80  2.286
1.90  2.280
2.00  2.272
2.10  2.266
2.20  2.260
2.30  2.258
2.40  2.258
2.50  2.260
2.60  2.266
2.70  2.276
2.80  2.290
2.90  2.308
3.00  2.334
3.10  2.366
3.20  2.406
3.30  2.458
3.40  2.520
3.50  2.598
3.60  0.000
3.70  0.000
3.80  0.000
3.90  0.000
4.00  0.000
4.10  0.000
4.20  0.000
4.30  0.000
4.40  0.000
4.50  0.000
4.60  0.000
4.70  0.000
4.80  0.000
4.90  0.000
5.00  0.000
5.10  0.000
5.20  0.000
5.30  0.000
5.40  0.000
5.50  0.000
5.60  0.000
5.70  0.000
5.80  0.000
5.90  0.000
6.00  0.000
