0.10  2.336
0.20  2.330
0.30  2.326
0.40  2.310
0.50  2.322
0.60  2.320
0.70  2.326
0.80  2.352
0.90  2.398
1.00  2.412
1.10  2.420
1.20  2.398
1.30  2.370
1.40  2.380
1.50  2.398
1.60  2.412
1.70  2.428
1.80  2.448
1.90  2.472
2.00  2.500
2.10  2.530
2.20  2.558
2.30  2.584
2.40  2.613
2.50  2.647
2.60  2.697
2.70  2.759
2.80  2.809
2.90  2.837
3.00  2.855
3.10  0.000
3.20  0.000
3.30  0.000
3.40  0.000
3.50  0.000
3.60  0.000
3.70  0.000
3.80  0.000
3.90  0.000
4.00  0.000
4.10  0.000
4.20  0.000
4.30  0.000
4.40  0.000
4.50  0.000
4.60  0.000
4.70  0.000
4.80  0.000
4.90  0.000
5.00  0.000
5.10  0.000
5.20  0.000
5.30  0.000
5.40  0.000
5.50  0.000
5.60  0.000
5.70  0.000
5.80  0.000
5.90  0.000
6.00  0.000
