0.10  2.298
0.20  2.290
0.30  2.310
0.40  2.284
0.50  2.302
0.60  2.320
0.70  2.344
0.80  2.358
0.90  2.320
1.00  2.324
1.10  2.338
1.20  2.354
1.30  2.372
1.40  2.352
1.50  2.316
1.60  2.328
1.70  2.348
1.80  2.376
1.90  2.420
2.00  2.486
2.10  2.544
2.20  2.586
2.30  2.622
2.40  2.652
2.50  2.678
2.60  2.700
2.70  2.719
2.80  2.733
2.90  2.741
3.00  2.739
3.10  2.737
3.20  2.729
3.30  2.721
3.40  2.713
3.50  2.705
3.60  0.000
3.70  0.000
3.80  0.000
3.90  0.000
4.00  0.000
4.10  0.000
4.20  0.000
4.30  0.000
4.40  0.000
4.50  0.000
4.60  0.000
4.70  0.000
4.80  0.000
4.90  0.000
5.00  0.000
5.10  0.000
5.20  0.000
5.30  0.000
5.40  0.000
5.50  0.000
5.60  0.000
5.70  0.000
5.80  0.000
5.90  0.000
6.00  0.000
